SR. NO,DATE,DAY,DESCRIPTION
1,22-Jan-24,Monday,Special Holiday
2,26-Jan-24,Friday,Republic Day
3,08-Mar-24,Friday,Mahashivratri
4,25-Mar-24,Monday,Holi
5,29-Mar-24,Friday,Good Friday
6,11-Apr-24,Thursday,Id-Ul-Fitr (Ramadan Eid)
7,17-Apr-24,Wednesday,Shri Ram Navmi
8,01-May-24,Wednesday,Maharashtra Day
9,17-Jun-24,Monday,Bakri Id
10,17-Jul-24,Wednesday,Moharram
11,15-Aug-24,Thursday,Independence Day
12,02-Oct-24,Wednesday,Mahatma Gandhi Jayanti
13,01-Nov-24,Friday,Diwali Laxmi Pujan*
14,15-Nov-24,Friday,Gurunanak Jayanti
15,25-Dec-24,Wednesday,Christmas
1,14-Apr-24,Sunday,Dr. Baba Saheb Ambedkar Jayanti
2,21-Apr-24,Sunday,Shri Mahavir Jayanti
3,07-Sep-24,Saturday,Ganesh Chaturthi
4,12-Oct-24,Saturday,Dussehra
5,02-Nov-24,Saturday,Diwali-Balipratipada
