,Dates,Weekday
0,2024-01-01,0
1,2024-01-02,1
2,2024-01-03,2
3,2024-01-04,3
4,2024-01-05,4
7,2024-01-08,0
8,2024-01-09,1
9,2024-01-10,2
10,2024-01-11,3
11,2024-01-12,4
14,2024-01-15,0
15,2024-01-16,1
16,2024-01-17,2
17,2024-01-18,3
18,2024-01-19,4
22,2024-01-23,1
23,2024-01-24,2
24,2024-01-25,3
28,2024-01-29,0
29,2024-01-30,1
30,2024-01-31,2
31,2024-02-01,3
32,2024-02-02,4
35,2024-02-05,0
36,2024-02-06,1
37,2024-02-07,2
38,2024-02-08,3
39,2024-02-09,4
42,2024-02-12,0
43,2024-02-13,1
44,2024-02-14,2
45,2024-02-15,3
46,2024-02-16,4
49,2024-02-19,0
50,2024-02-20,1
51,2024-02-21,2
52,2024-02-22,3
53,2024-02-23,4
56,2024-02-26,0
57,2024-02-27,1
58,2024-02-28,2
59,2024-02-29,3
60,2024-03-01,4
63,2024-03-04,0
64,2024-03-05,1
65,2024-03-06,2
66,2024-03-07,3
70,2024-03-11,0
71,2024-03-12,1
72,2024-03-13,2
73,2024-03-14,3
74,2024-03-15,4
77,2024-03-18,0
78,2024-03-19,1
79,2024-03-20,2
80,2024-03-21,3
81,2024-03-22,4
85,2024-03-26,1
86,2024-03-27,2
87,2024-03-28,3
91,2024-04-01,0
92,2024-04-02,1
93,2024-04-03,2
94,2024-04-04,3
95,2024-04-05,4
98,2024-04-08,0
99,2024-04-09,1
100,2024-04-10,2
102,2024-04-12,4
105,2024-04-15,0
106,2024-04-16,1
108,2024-04-18,3
109,2024-04-19,4
112,2024-04-22,0
113,2024-04-23,1
114,2024-04-24,2
115,2024-04-25,3
116,2024-04-26,4
119,2024-04-29,0
120,2024-04-30,1
122,2024-05-02,3
123,2024-05-03,4
126,2024-05-06,0
127,2024-05-07,1
128,2024-05-08,2
129,2024-05-09,3
130,2024-05-10,4
133,2024-05-13,0
134,2024-05-14,1
135,2024-05-15,2
136,2024-05-16,3
137,2024-05-17,4
140,2024-05-20,0
141,2024-05-21,1
142,2024-05-22,2
143,2024-05-23,3
144,2024-05-24,4
147,2024-05-27,0
148,2024-05-28,1
149,2024-05-29,2
150,2024-05-30,3
151,2024-05-31,4
154,2024-06-03,0
155,2024-06-04,1
156,2024-06-05,2
157,2024-06-06,3
158,2024-06-07,4
161,2024-06-10,0
162,2024-06-11,1
163,2024-06-12,2
164,2024-06-13,3
165,2024-06-14,4
169,2024-06-18,1
170,2024-06-19,2
171,2024-06-20,3
172,2024-06-21,4
175,2024-06-24,0
176,2024-06-25,1
177,2024-06-26,2
178,2024-06-27,3
179,2024-06-28,4
182,2024-07-01,0
183,2024-07-02,1
184,2024-07-03,2
185,2024-07-04,3
186,2024-07-05,4
189,2024-07-08,0
190,2024-07-09,1
191,2024-07-10,2
192,2024-07-11,3
193,2024-07-12,4
196,2024-07-15,0
197,2024-07-16,1
199,2024-07-18,3
200,2024-07-19,4
203,2024-07-22,0
204,2024-07-23,1
205,2024-07-24,2
206,2024-07-25,3
207,2024-07-26,4
210,2024-07-29,0
211,2024-07-30,1
212,2024-07-31,2
213,2024-08-01,3
214,2024-08-02,4
217,2024-08-05,0
218,2024-08-06,1
219,2024-08-07,2
220,2024-08-08,3
221,2024-08-09,4
224,2024-08-12,0
225,2024-08-13,1
226,2024-08-14,2
228,2024-08-16,4
231,2024-08-19,0
232,2024-08-20,1
233,2024-08-21,2
234,2024-08-22,3
235,2024-08-23,4
238,2024-08-26,0
239,2024-08-27,1
240,2024-08-28,2
241,2024-08-29,3
242,2024-08-30,4
245,2024-09-02,0
246,2024-09-03,1
247,2024-09-04,2
248,2024-09-05,3
249,2024-09-06,4
252,2024-09-09,0
253,2024-09-10,1
254,2024-09-11,2
255,2024-09-12,3
256,2024-09-13,4
259,2024-09-16,0
260,2024-09-17,1
261,2024-09-18,2
262,2024-09-19,3
263,2024-09-20,4
266,2024-09-23,0
267,2024-09-24,1
268,2024-09-25,2
269,2024-09-26,3
270,2024-09-27,4
273,2024-09-30,0
274,2024-10-01,1
276,2024-10-03,3
277,2024-10-04,4
280,2024-10-07,0
281,2024-10-08,1
282,2024-10-09,2
283,2024-10-10,3
284,2024-10-11,4
287,2024-10-14,0
288,2024-10-15,1
289,2024-10-16,2
290,2024-10-17,3
291,2024-10-18,4
294,2024-10-21,0
295,2024-10-22,1
296,2024-10-23,2
297,2024-10-24,3
298,2024-10-25,4
301,2024-10-28,0
302,2024-10-29,1
303,2024-10-30,2
304,2024-10-31,3
308,2024-11-04,0
309,2024-11-05,1
310,2024-11-06,2
311,2024-11-07,3
312,2024-11-08,4
315,2024-11-11,0
316,2024-11-12,1
317,2024-11-13,2
318,2024-11-14,3
322,2024-11-18,0
323,2024-11-19,1
324,2024-11-20,2
325,2024-11-21,3
326,2024-11-22,4
329,2024-11-25,0
330,2024-11-26,1
331,2024-11-27,2
332,2024-11-28,3
333,2024-11-29,4
336,2024-12-02,0
337,2024-12-03,1
338,2024-12-04,2
339,2024-12-05,3
340,2024-12-06,4
343,2024-12-09,0
344,2024-12-10,1
345,2024-12-11,2
346,2024-12-12,3
347,2024-12-13,4
350,2024-12-16,0
351,2024-12-17,1
352,2024-12-18,2
353,2024-12-19,3
354,2024-12-20,4
357,2024-12-23,0
358,2024-12-24,1
360,2024-12-26,3
361,2024-12-27,4
364,2024-12-30,0
365,2024-12-31,1
